producto,texto_feedback,categoria,severidad,producto_afectado,justificacion
Sofá Modular Mini Santorini Verdi Ivory,"Hola, compré el sofá modular Santorini hace 3 semanas y todavía no me llega. En la página decía entrega de 8 a 10 días hábiles. Nadie me responde el estado del pedido #OH-45821. Necesito una respuesta hoy por favor.",queja,4,Logística / Servicio,"El cliente reporta un retraso significativo en la entrega y falta de respuesta sobre el estado del pedido, lo que indica una mala experiencia logística y de servicio al cliente."
Silla De Terraza Olive Verde,"Hermosas las sillas de la colección Olive, el color verde es idéntico al de las fotos. Llegaron antes de lo prometido y muy bien empacadas. Ya pedí la mesa de terraza para completar el set.",elogio,1,Silla De Terraza Olive Verde,"El cliente expresa satisfacción con el producto, la entrega y el empaque, sin mencionar problemas."
Cama Mini Palermo Doble Roble Santana,"La cama es preciosa y el armado gratis fue rapidísimo, los técnicos muy amables. Solo mejoraría que avisen la franja horaria de entrega con más anticipación.",queja,2,Logística / Servicio,"El feedback es mayoritariamente positivo, pero incluye una sugerencia de mejora sobre la comunicación de la franja horaria de entrega, lo cual es una queja leve sobre el servicio logístico."
Sofacama Multifuncional Houston Trigo,El sofacama llegó con una pata rota y la tela del asiento tiene una mancha. Pagué casi 2 millones y medio. Exijo cambio inmediato o devolución del dinero. Adjunto fotos. Pedido #OH-45610.,queja,5,Sofacama Multifuncional Houston Trigo,"El cliente reporta un producto dañado (pata rota y mancha) y exige cambio o devolución, lo que indica una queja por defecto del producto y mala experiencia de entrega."
Mesa De Noche Sion Arena,"Linda mesa de noche, buen acabado de la madera. Le quito una estrella porque el cajón quedó un poco duro al deslizar, toca empujarlo con fuerza.",queja,2,Mesa De Noche Sion Arena,"El cliente reporta un defecto funcional en el producto (cajón duro), lo que constituye una queja sobre la calidad del mueble."
Silla De Comedor Emilia Avellana Veracruz Crema,Las sillas están bien pero me gustaría que ofrecieran más opciones de tela. Solo había crema y mi comedor es oscuro. Sería genial poder personalizar el tapizado al hacer el pedido.,feature_request,2,Silla De Comedor Emilia Avellana Veracruz Crema,"El cliente solicita explícitamente más opciones de tela y personalización del tapizado, lo cual es una sugerencia de mejora del producto."
Combo Hogar Mérida Arena Ivory,Intenté pagar el combo del mes con PSE tres veces y la página me saca error al final del checkout. El carrito se vacía y toca empezar de cero. Ya lo intenté en celular y computador. ¿Me pueden ayudar? No quiero perder el descuento.,bug,4,Plataforma web,"Error recurrente en el checkout que impide completar el pago, afectando la experiencia de compra y posible pérdida de descuento."
Silla Reclinable Coral Houston beige,"La silla reclinable es lo máximo, súper cómoda para teletrabajar y ver TV. El mecanismo reclinable se siente firme y de calidad. Vale cada peso.",elogio,1,Silla Reclinable Coral Houston beige,"El feedback es completamente positivo, destacando comodidad y calidad del producto."
Cuna Evolutiva Rory Arena,"La cuna evolutiva es espectacular, se nota que son fabricantes porque la madera es de excelente calidad. Me encantó que usan maderas cultivadas. Ya la recomendé a dos amigas embarazadas.",elogio,1,Cuna Evolutiva Rory Arena,"El cliente expresa satisfacción y recomienda el producto, lo que corresponde a un feedback positivo."
Sofá Modular Mini Santorini Verdi Gris,Buenas tardes. En su página dice cobertura de entrega en rutas seleccionadas pero al poner mi dirección en Cartagena no me deja finalizar la compra. ¿Hacen envíos a la costa? ¿Hay algún costo adicional? Gracias.,queja,3,Logística / Servicio,"El cliente reporta un problema con la logística de entrega, específicamente la imposibilidad de completar la compra por restricciones de envío no claras."
Puff Olive Arena Calabria Marfil,El puff es bonito pero me pareció pequeño para el precio. En las fotos se ve más grande. Deberían poner una foto con una persona al lado para tener referencia del tamaño real.,feature_request,2,Puff Olive Arena Calabria Marfil,"El cliente sugiere una mejora en las fotos del producto para mostrar el tamaño real, lo cual es una solicitud de funcionalidad."
Base Cama Sion Doble,"Todo bien con la compra, pero sugiero que implementen un rastreo del pedido en línea. Tener que escribir por WhatsApp cada vez para saber dónde va el envío es desgastante.",feature_request,3,Logística / Servicio,"El cliente solicita una mejora en el proceso de seguimiento de envíos, lo cual es una solicitud de funcionalidad."
Cama Nicho Jenny Sencilla Blanco Frente Nuez,"La cama de mi hija llegó incompleta, faltan los largueros y los tornillos del frente nuez. Los técnicos de armado vinieron y no pudieron hacer nada. Llevo 5 días esperando las piezas y nadie da razón. Pedido #OH-44987.",queja,5,Cama Nicho Jenny Sencilla Blanco Frente Nuez,"El cliente reporta un producto incompleto y falta de respuesta del servicio postventa, lo que constituye una queja de alta severidad por afectar la experiencia del usuario y la funcionalidad del producto."
Mesa Comedor Sion Rectangular,"Excelente mesa, robusta y elegante. El servicio de armado gratis es un plus enorme. Los muchachos dejaron todo limpio y se llevaron el empaque.",elogio,1,Mesa Comedor Sion Rectangular,"El feedback es completamente positivo, destacando la calidad del producto y el servicio de armado."
Sofá 3 Ptos Olive Calabria Marfil,"El sofá es lindo pero la entrega se demoró 18 días y la comunicación fue casi nula. Solo me enteraba de algo cuando yo escribía. El producto bien, la logística mal.",queja,4,Logística / Servicio,"El cliente expresa insatisfacción con la demora en la entrega y la falta de comunicación, lo cual es una queja sobre el servicio logístico."
Silla De Terraza Olive Terracota,"Quiero hacer válida la garantía. Compré 4 sillas de terraza hace 2 meses y a una se le descascaró la pintura con la lluvia. Si son para terraza deberían resistir la intemperie, ¿no? ¿Cómo es el proceso del manual de garantía?",queja,4,Silla De Terraza Olive Terracota,"El cliente reporta un defecto en el producto (pintura descascarada) que afecta su funcionalidad para uso exterior, lo que constituye una queja sobre la calidad del producto."
Mesa Centro Sion Cuadrada Arena,"Buena mesa de centro, combina con todo. El único detalle es que llegó con un golpecito en una esquina, nada grave pero para el precio uno espera perfección.",queja,3,Mesa Centro Sion Cuadrada Arena,"El cliente reporta un daño leve en el producto recibido, lo que constituye una queja por la calidad del envío o del producto."
Silla Auxiliar Olive Calabria Marfil,"Me encantaría que tuvieran realidad aumentada en la página para ver cómo queda el mueble en mi sala antes de comprar, como hacen otras tiendas. Estuve a punto de no comprar por la duda del tamaño.",feature_request,3,Plataforma web,"El cliente solicita una funcionalidad de realidad aumentada en la plataforma web, lo cual es una sugerencia de mejora (feature request)."
Combo Hogar Mérida Arena Ivory,"Compré el combo del mes y me llegaron el sofá y la mesa, pero faltó el puff. En la factura aparece todo. Llevo una semana escribiendo y me pasan de un asesor a otro sin solución. Muy mal servicio postventa.",queja,4,Logística / Servicio,"El cliente reporta una entrega incompleta (falta el puff) y una mala experiencia con el servicio postventa, con derivaciones sin solución."
Sofá Modular Mini Santorini Verdi Ivory,"El modular Santorini transformó mi apartamento. Lo mejor es poder reorganizar los módulos según la ocasión. La tela ivory es delicada eso sí, recomiendo el protector de telas.",elogio,1,Sofá Modular Mini Santorini Verdi Ivory,"El cliente expresa satisfacción con el producto y destaca su funcionalidad, sin reportar problemas."
Mesa De Terraza Olive Verde,Buena experiencia en general. La mesa llegó bien y a tiempo. Le pongo 8 porque el empaque traía demasiado plástico para una marca que se dice sostenible.,queja,2,Mesa De Terraza Olive Verde,"El cliente expresa una queja sobre el exceso de plástico en el empaque, contradiciendo la imagen sostenible de la marca."
Silla Reclinable Coral Houston beige,Después de un mes de uso el mecanismo reclinable empezó a sonar y se queda trabado a mitad de camino. Necesito visita técnica por garantía. ¿Tiene costo el desplazamiento? Pedido #OH-43215.,queja,4,Silla Reclinable Coral Houston beige,"El cliente reporta un defecto funcional en el producto que requiere visita técnica por garantía, lo que indica una mala experiencia con la calidad del mueble."
Cuna Evolutiva Rory Arena,"Compramos la cuna Rory para nuestro primer bebé y estamos felices. Que sea evolutiva significa que nos va a durar años. La pintura no tiene olor, eso nos dio mucha tranquilidad.",elogio,1,Cuna Evolutiva Rory Arena,"El cliente expresa satisfacción y tranquilidad con el producto, destacando su durabilidad y seguridad, lo que constituye un feedback positivo."
Mueble Auxiliar Sion Arena,"El mueble bien, pero la página web es muy lenta desde el celular, las fotos de los productos cargan a pedazos y el filtro de precios no funciona en la categoría de auxiliares.",bug,4,Plataforma web,"El feedback reporta múltiples fallos funcionales en la plataforma web (lentitud, carga parcial de imágenes y filtro roto), lo que afecta la experiencia de compra y puede impedir la navegación."
Cama Mini Palermo Queen Roble Santana,"Los señores del armado llegaron 4 horas tarde de la cita y yo pedí permiso en el trabajo. Además dejaron la cama mal nivelada, se mueve toda. Necesito que vuelvan a nivelarla, esta vez puntuales por favor.",queja,4,Logística / Servicio,"El cliente reporta un incumplimiento grave en el servicio de armado (retraso de 4 horas) y un defecto en la instalación que afecta la funcionalidad del producto, lo que constituye una queja de alta severidad."
Sofa 2 Ptos Macarena Negro Idilio Crudo,Decepcionado. A los 20 días la tela del sofá Macarena empezó a hacer motas (pilling) y los cojines ya se ven vencidos. Para ser 'fabricantes con 10 años de garantía' la calidad de la tela deja mucho que desear.,queja,4,Sofa 2 Ptos Macarena Negro Idilio Crudo,"El cliente reporta un defecto de calidad en el producto (pilling y cojines vencidos) que afecta la experiencia de uso, lo cual es una queja sobre el producto."
Silla De Comedor Emilia Avellana Veracruz Crema,Muy contenta con las sillas del comedor. Llegaron perfectas y el descuento del 30% hizo la diferencia. Solo sugiero ampliar el horario de entregas a sábados.,elogio,1,Silla De Comedor Emilia Avellana Veracruz Crema,"El feedback expresa satisfacción con el producto y la compra, con una sugerencia menor sobre horarios de entrega."
Sofá 3 Ptos Olive Calabria Marfil,"En la web el sofá aparece disponible pero después de pagar me llamaron a decir que no hay stock hasta dentro de un mes. Eso es publicidad engañosa. Quiero la devolución del dinero ya, no un bono.",queja,5,Sofá 3 Ptos Olive Calabria Marfil,"El cliente reporta una mala experiencia por falta de stock real después del pago, lo que considera publicidad engañosa, y exige devolución inmediata del dinero, indicando un problema grave de logística y comunicación."
Mesa De Noche Sion Avellana,"Divinas las mesas de noche en avellana, compré dos y el tono es uniforme en ambas. Se nota la calidad de fabricante. El 20% de descuento fue el empujón final.",elogio,1,Mesa De Noche Sion Avellana,"El feedback es positivo, destacando la calidad y uniformidad del producto, sin quejas ni solicitudes de mejora."
Sofacama Multifuncional Houston Trigo,"Buen producto, pero deberían ofrecer financiación directa o pagos a cuotas sin tarjeta de crédito. Casi no logro comprarlo porque no manejo tarjeta. Un convenio con Addi o Sistecrédito ayudaría mucho.",feature_request,3,Sofacama Multifuncional Houston Trigo,"El cliente solicita una mejora en las opciones de pago, lo cual es una sugerencia de funcionalidad (feature request)."
